Protein.IDs	Fasta.headers	Razor...unique.peptides.Prn1_1	Razor...unique.peptides.Prn1_2	Razor...unique.peptides.Prn1_3	Razor...unique.peptides.Prn1_4	Razor...unique.peptides.Prn1_H2O2_1	Razor...unique.peptides.Prn1_H2O2_2	Razor...unique.peptides.Prn1_H2O2_3	Razor...unique.peptides.Prn1_H2O2_4	Razor...unique.peptides.WT_H2O2_1	Razor...unique.peptides.WT_H2O2_2	Razor...unique.peptides.WT_H2O2_3	Razor...unique.peptides.WT_H2O2_4	Razor...unique.peptides.WT1	Razor...unique.peptides.WT2	Razor...unique.peptides.WT3	Razor...unique.peptides.WT4	Unique.peptides.Prn1_1	Unique.peptides.Prn1_2	Unique.peptides.Prn1_3	Unique.peptides.Prn1_4	Unique.peptides.Prn1_H2O2_1	Unique.peptides.Prn1_H2O2_2	Unique.peptides.Prn1_H2O2_3	Unique.peptides.Prn1_H2O2_4	Unique.peptides.WT_H2O2_1	Unique.peptides.WT_H2O2_2	Unique.peptides.WT_H2O2_3	Unique.peptides.WT_H2O2_4	Unique.peptides.WT1	Unique.peptides.WT2	Unique.peptides.WT3	Unique.peptides.WT4	Intensity.Prn1_1	Intensity.Prn1_2	Intensity.Prn1_3	Intensity.Prn1_4	Intensity.Prn1_H2O2_1	Intensity.Prn1_H2O2_2	Intensity.Prn1_H2O2_3	Intensity.Prn1_H2O2_4	Intensity.WT_H2O2_1	Intensity.WT_H2O2_2	Intensity.WT_H2O2_3	Intensity.WT_H2O2_4	Intensity.WT1	Intensity.WT2	Intensity.WT3	Intensity.WT4	Only.identified.by.site	Reverse	Potential.contaminant
orf19.7605	orf19.7605 PUP1 CGDID:CAL0000797 COORDS:Ca21chrR_C_albicans_SC5314:2195778-2196596W, translated using codon table 12 (272 amino acids) Uncharacterized ORF; Putative beta 2 subunit of the 20S proteasome; macrophage/pseudohyphal-repressed; Spider biofilm rep	5	4	4	4	7	5	5	6	6	7	5	4	5	5	5	6	5	4	4	4	7	5	5	6	6	7	5	4	5	5	5	6	351230000	301780000	313320000	327480000	554170000	394870000	331600000	354020000	526010000	652360000	311860000	295960000	407530000	340760000	290050000	337600000			
orf19.761	orf19.761 TCO89 CGDID:CAL0001891 COORDS:Ca21chr1_C_albicans_SC5314:1001683-1003809W, translated using codon table 12 (708 amino acids) Verified ORF; Putative homolog of <i>S. cerevisiae</i> Tco89p, which is a component of the TOR C1 complex that is involve	2	2	1	0	2	1	1	0	0	3	1	1	4	4	2	2	2	2	1	0	2	1	1	0	0	3	1	1	4	4	2	2	5822900	6906300	0	0	4419000	3516700	3450100	0	0	15604000	0	5705900	30272000	30890000	9303800	8127500			
orf19.7610	orf19.7610 PTP3 CGDID:CAL0000818 COORDS:Ca21chrR_C_albicans_SC5314:2206947-2209715W, translated using codon table 12 (922 amino acids) Verified ORF; Putative protein tyrosine phosphatase; hypha induced; alkaline induced; regulated by Efg1, Ras1, cAMP pathw	0	2	1	0	1	1	2	0	0	2	1	1	2	2	0	2	0	2	1	0	1	1	2	0	0	2	1	1	2	2	0	2	0	22142000	0	0	7411700	4480400	11416000	0	0	43620000	5883000	0	13899000	22697000	0	12083000			
orf19.7611	orf19.7611 TRX1 CGDID:CAL0000819 COORDS:Ca21chrR_C_albicans_SC5314:2210638-2210327C, translated using codon table 12 (103 amino acids) Verified ORF; Thioredoxin; involved in response to reactive oxygen species; biofilm, benomyl, flucytosine, peroxide, Hap4	6	6	5	6	7	6	6	6	7	7	7	7	7	6	6	6	6	6	5	6	7	6	6	6	7	7	7	7	7	6	6	6	1230700000	1219900000	1163000000	1033099999.9999999	2841500000	2947699999.9999995	1566699999.9999998	1760099999.9999998	2297900000	3903899999.9999995	2070299999.9999998	1665799999.9999998	1761999999.9999998	1518499999.9999998	1117100000	1104500000			
orf19.7613	orf19.7613 HCR1 CGDID:CAL0000821 COORDS:Ca21chrR_C_albicans_SC5314:2214260-2215117W, translated using codon table 12 (285 amino acids) Uncharacterized ORF; Putative translation initiation factor; repressed upon phagocytosis by murine macrophage; Spider bio	5	5	8	6	4	5	4	5	8	6	4	4	7	4	6	8	5	5	8	6	4	5	4	5	8	6	4	4	7	4	6	8	179580000	164970000	323360000	217590000	148510000	122830000	202610000	194230000	127010000	191350000	142930000	144420000	248300000	165200000	211870000	244630000			
orf19.7624	orf19.7624 orf19.7624 CGDID:CAL0000848 COORDS:Ca21chrR_C_albicans_SC5314:2229053-2227458C, translated using codon table 12 (531 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	1	1	2	2	3	2	1	2	2	1	2	2	1	1	1	1	1	1	2	2	3	2	1	2	2	1	2	2	1	1	3902600	13278000	5338500	13003000	25374000	13302000	76325000	25989000	3840400	9159000	18962000	17292000	22408000	11523000	6858800	5636100			
orf19.7626	orf19.7626 EIF4E CGDID:CAL0000850 COORDS:Ca21chrR_C_albicans_SC5314:2230355-2230984W, translated using codon table 12 (209 amino acids) Verified ORF; Translation initiation factor eIF4E; genes encoding ribosomal subunits, translation factors, tRNA syntheta	5	6	5	4	5	5	6	6	4	6	2	4	6	6	3	3	5	6	5	4	5	5	6	6	4	6	2	4	6	6	3	3	174010000	199900000	195740000	152640000	153420000	187640000	221330000	160800000	162110000	155230000	83843000	170540000	176920000	186430000	82394000	173150000			
orf19.7635	orf19.7635 DRS1 CGDID:CAL0000864 COORDS:Ca21chrR_C_albicans_SC5314:2240886-2242727W, translated using codon table 12 (613 amino acids) Verified ORF; Putative nucleolar DEAD-box protein; Hap43-induced; mutation confers hypersensitivity to 5-fluorouracil (5-	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10385000	0	0	0	9186300	0	0	0	0	0	0			
orf19.7645	orf19.7645 orf19.7645 CGDID:CAL0000887 COORDS:Ca21chrR_C_albicans_SC5314:2253169-2251172C, translated using codon table 12 (665 amino acids) Verified ORF; Biotin protein ligase; catalyzes covalent attachment of biotin to biotin-dependent enzymes including 	0	1	6	6	0	0	0	2	0	0	2	3	0	0	5	4	0	1	6	6	0	0	0	2	0	0	2	3	0	0	5	4	0	6189500	128210000	128520000	0	0	0	16820000	0	0	17991000	22081000	0	0	88673000	75714000			
orf19.7650	orf19.7650 LTV1 CGDID:CAL0000910 COORDS:Ca21chrR_C_albicans_SC5314:2255840-2256991W, translated using codon table 12 (383 amino acids) Uncharacterized ORF; Putative GSE complex component; repressed by prostaglandins	4	4	4	5	5	6	4	5	4	8	4	5	4	4	4	5	4	4	4	5	5	6	4	5	4	8	4	5	4	4	4	5	45340000	42885000	33057000	30063000	56506000	91637000	34708000	57695000	41111000	172020000	45660000	43672000	61853000	37393000	34106000	49461000			
orf19.7652	orf19.7652 CKA1 CGDID:CAL0000912 COORDS:Ca21chrR_C_albicans_SC5314:2257300-2258307W, translated using codon table 12 (335 amino acids) Uncharacterized ORF; Putative alpha subunit (catalytic subunit) of protein kinase CK2; Cka1p and Cka2p have a common targ	0	0	1	1	0	0	2	2	0	0	2	2	0	0	1	2	0	0	1	1	0	0	2	2	0	0	2	2	0	0	1	2	0	0	19956000	19529000	0	0	15914000	9132500	0	0	13143000	21348000	0	0	10024000	7982800			
orf19.7654	orf19.7654 CPR6 CGDID:CAL0000916 COORDS:Ca21chrR_C_albicans_SC5314:2258818-2259927W, translated using codon table 12 (369 amino acids) Uncharacterized ORF; Putative peptidyl-prolyl cis-trans isomerase; macrophage/pseudohyphal-repressed; heavy metal (cadmiu	7	7	9	7	7	7	7	7	7	9	7	8	7	8	6	7	7	7	9	7	7	7	7	7	7	9	7	8	7	8	6	7	635860000	592350000	898020000	681760000	795960000	736660000	521620000	870460000	751240000	993550000	771850000	736440000	629060000	683930000	649910000	734600000			
orf19.7655	orf19.7655 RPO21 CGDID:CAL0000919 COORDS:Ca21chrR_C_albicans_SC5314:2260510-2265696W, translated using codon table 12 (1728 amino acids) Verified ORF; RNA polymerase II; ortholog of S. cerevisiae Rpo21, transposon mutation affects filamentous growth; flow 	5	4	5	5	1	2	1	2	3	5	3	2	3	4	5	5	5	4	5	5	1	2	1	2	3	5	3	2	3	4	5	5	54374000	53129000	140270000	100520000	14254000	15021000	14448000	16893000	29375000	51777000	20948000	18408000	24024000	29516000	101480000	64250000			
orf19.7667	orf19.7667 IAH1 CGDID:CAL0000954 COORDS:Ca21chrR_C_albicans_SC5314:2276724-2275918C, translated using codon table 12 (268 amino acids) Verified ORF; Protein similar to S. cerevisiae Iah1p, which is involved in acetate metabolism; mutation confers hypersens	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	3056800	9794700	14136000	11477000	14234000	7284300	4850300	21133000	20960000	0	17133000	0	12595000	14501000	0			
orf19.7673	orf19.7673 orf19.7673 CGDID:CAL0000979 COORDS:Ca21chrR_C_albicans_SC5314:2282567-2282917W, translated using codon table 12 (116 amino acids) Uncharacterized ORF; Protein of unknown function	2	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	68020000	99066000	105430000	145180000	109260000	37735000	73618000	84773000	89936000	107440000	89835000	128760000	65192000	96620000	106020000	91037000			
orf19.7675	orf19.7675 orf19.7675 CGDID:CAF0007124 COORDS:Ca21chrR_C_albicans_SC5314:2283424-2282948C, translated using codon table 12 (158 amino acids) Uncharacterized ORF; Mitochondrial ribosomal protein of the large subunit; Spider biofilm repressed	2	2	2	3	2	1	2	2	2	2	1	3	2	3	1	2	2	2	2	3	2	1	2	2	2	2	1	3	2	3	1	2	21771000	24398000	14101000	20815000	18136000	5592100	4454700	10554000	20545000	32859000	7315300	989500000	13571000	40328000	3790600	10483000			
orf19.7676	orf19.7676 XYL2 CGDID:CAL0000985 COORDS:Ca21chrR_C_albicans_SC5314:2284606-2283524C, translated using codon table 12 (360 amino acids) Verified ORF; D-xylulose reductase; immunogenic in mice; soluble protein in hyphae; induced by caspofungin, fluconazole, 	15	15	15	16	16	14	13	14	14	16	14	14	16	15	15	14	15	15	15	16	16	14	13	14	14	16	14	14	16	15	15	14	1886299999.9999998	1888299999.9999998	1310600000	1376400000	1960399999.9999998	2078999999.9999998	1316900000	1867699999.9999998	2125599999.9999998	1684999999.9999998	1846899999.9999998	1776499999.9999998	1585499999.9999998	1884899999.9999998	1116700000	993150000			
orf19.7678	orf19.7678 ATP16 CGDID:CAL0000987 COORDS:Ca21chrR_C_albicans_SC5314:2285380-2284895C, translated using codon table 12 (161 amino acids) Uncharacterized ORF; Subunit of the mitochondrial F1F0 ATP synthase; sumoylation target; protein newly produced during a	6	6	6	4	6	6	6	6	6	6	6	6	6	6	5	5	6	6	6	4	6	6	6	6	6	6	6	6	6	6	5	5	1593699999.9999998	1223000000	1523999999.9999998	836290000	1796799999.9999998	1805599999.9999998	2082399999.9999998	1915899999.9999998	1396200000	2278800000	1275500000	1556999999.9999998	1817199999.9999998	1981199999.9999998	1142400000	1249800000			
orf19.769	orf19.769 IFE1 CGDID:CAL0001909 COORDS:Ca21chr1_C_albicans_SC5314:986332-987516W, translated using codon table 12 (394 amino acids) Uncharacterized ORF; Putative medium-chain alcohol dehydrogenase; rat catheter and Spider biofilm repressed	1	2	0	1	2	0	0	0	1	0	0	0	1	0	1	0	1	2	0	1	2	0	0	0	1	0	0	0	1	0	1	0	4291600	8939600	0	4741100	9584900	0	0	0	7822500	0	0	0	0	0	3359900	0			
orf19.772	orf19.772 LYS21 CGDID:CAL0001935 COORDS:Ca21chr1_C_albicans_SC5314:983901-982615C, translated using codon table 12 (428 amino acids) Uncharacterized ORF; Homocitrate synthase; lysine biosynthesis; expression increased in a fluconazole-resistant isolate; co	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1631100	0	16975000	0	0	2101500	0	0	0	0			
orf19.773	orf19.773 orf19.773 CGDID:CAL0001939 COORDS:Ca21chr1_C_albicans_SC5314:981250-980663C, translated using codon table 12 (195 amino acids) Uncharacterized ORF; Protein similar to S. cerevisiae Rsa3 predicted nucleolar protein involved in maturation of pre-60	0	0	3	3	1	2	3	3	0	1	5	4	0	1	3	2	0	0	3	3	1	2	3	3	0	1	5	4	0	1	3	2	0	0	57427000	40089000	6917500	19930000	148720000	74225000	0	4897300	92158000	100540000	0	7051300	50988000	33060000			
orf19.778	orf19.778 PIL1 CGDID:CAL0001950 COORDS:Ca21chr1_C_albicans_SC5314:973551-974477W, translated using codon table 12 (308 amino acids) Verified ORF; Eisosome component; predicted role in endocytosis; echinocandin-binding protein; localizes to cell surface of 	14	14	15	15	15	16	16	15	15	17	13	11	16	13	16	13	11	11	12	12	12	13	13	12	12	14	10	9	13	10	13	10	3990699999.9999995	3862199999.9999995	2749600000	2259000000	5103200000	3596299999.9999995	1686899999.9999998	2528600000	4339300000	4777500000	2295800000	2028699999.9999998	5098500000	4447600000	2551500000	3392199999.9999995			
orf19.779	orf19.779 HAT1 CGDID:CAL0001952 COORDS:Ca21chr1_C_albicans_SC5314:970989-972230W, translated using codon table 12 (413 amino acids) Verified ORF; Hat1-Hat2 histone acetyltransferase complex subunit; involved in DNA damage repair and morphogenesis; mutation	0	1	2	4	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	4	0	0	0	0	0	0	0	1	0	0	0	2	0	24573000	31615000	23085000	0	0	0	0	0	0	0	8903100	0	0	0	145350000			
orf19.787.1	orf19.787.1 orf19.787.1 CGDID:CAL0120975 COORDS:Ca21chr4_C_albicans_SC5314:845676-845891W, translated using codon table 12 (71 amino acids) Uncharacterized ORF; Protein of unknown function; ORF added to Assembly 21 based on comparative genome analysis; pro	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	30078000	44771000	0	38187000	13513000	8982900	48855000	45488000	9856200	24559000	29997000	46802000	38261000	41929000	39314000	66132000			
orf19.789	orf19.789 PYC2 CGDID:CAL0001995 COORDS:Ca21chr4_C_albicans_SC5314:841339-837806C, translated using codon table 12 (1177 amino acids) Uncharacterized ORF; Putative pyruvate carboxylase; binds biotin cofactor; repressed by Ssk1 response regulator, by benomyl	26	24	22	26	28	29	13	15	28	24	18	16	19	20	21	22	26	24	22	26	28	29	13	15	28	24	18	16	19	20	21	22	2382700000	1679499999.9999998	1704099999.9999998	1700599999.9999998	2690500000	2469800000	448190000	638960000	3171399999.9999995	2200100000	1056999999.9999999	896750000	1323400000	1197000000	1410500000	1413300000			
orf19.789.1	orf19.789.1 orf19.789.1 CGDID:CAF0007416 COORDS:Ca21chr4_C_albicans_SC5314:837428-836988C, translated using codon table 12 (146 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	3129800	2779400	4663000	5938600	5719300	6158200	3907100	9353500	1772200	6327500	5412600	7052900	0	4625500	4196500	5517800			
orf19.797	orf19.797 BAT21 CGDID:CAL0002029 COORDS:Ca21chr2_C_albicans_SC5314:887895-889076W, translated using codon table 12 (393 amino acids) Uncharacterized ORF; Putative branched chain amino acid aminotransferase; regulated by Gcn4, Gcn2; induced in response to a	6	6	9	8	5	5	5	6	5	5	7	7	8	8	6	7	6	6	9	8	5	5	5	6	5	5	7	7	8	8	6	7	220580000	190420000	321850000	273520000	235220000	138090000	128150000	192850000	176200000	167000000	214740000	204710000	223680000	202020000	250600000	305680000			
orf19.798	orf19.798 TAF14 CGDID:CAL0002032 COORDS:Ca21chr2_C_albicans_SC5314:887089-886180C, translated using codon table 12 (263 amino acids) Verified ORF; Putative DNA-binding transcription factor; TFIIF subunit; macrophage-induced protein; possibly required for y	2	4	3	3	3	2	4	5	2	4	5	4	4	4	4	5	2	4	3	3	3	2	4	5	2	4	5	4	4	4	4	5	36358000	69191000	83762000	64417000	23980000	14081000	67198000	67749000	12447000	66315000	65186000	54967000	50008000	47247000	48958000	62831000			
orf19.802	orf19.802 UGA1 CGDID:CAL0002607 COORDS:Ca21chr2_C_albicans_SC5314:880090-878675C, translated using codon table 12 (471 amino acids) Uncharacterized ORF; Putative GABA transaminase; transcription regulated by Mig1 and Tup1; stationary phase enriched protein	8	7	5	6	10	8	9	8	12	10	7	7	8	6	5	7	8	7	5	6	10	8	9	8	12	10	7	7	8	6	5	7	259880000	231610000	154350000	238810000	418900000	265640000	206300000	207780000	529930000	409410000	207710000	181590000	286700000	212330000	155890000	174800000			
orf19.805	orf19.805 orf19.805 CGDID:CAL0002610 COORDS:Ca21chr2_C_albicans_SC5314:875646-876503W, translated using codon table 12 (285 amino acids) Uncharacterized ORF; Putative protein of unknown function; possibly mitochondrial; Hap43-repressed; Spider biofilm repr	1	0	2	2	3	3	2	2	2	3	2	3	0	1	2	3	1	0	2	2	3	3	2	2	2	3	2	3	0	1	2	3	9930000	0	24520000	27355000	29753000	35129000	13391000	28005000	21740000	36331000	16968000	24446000	0	16781000	25147000	26544000			
orf19.806	orf19.806 VMA7 CGDID:CAL0002611 COORDS:Ca21chr2_C_albicans_SC5314:875328-874972C, translated using codon table 12 (118 amino acids) Verified ORF; Putative subunit of the V-ATPase complex, which is involved in control of vacuolar pH; highly similar to S. ce	4	5	5	5	5	5	4	4	4	6	5	5	5	5	4	4	4	5	5	5	5	5	4	4	4	6	5	5	5	5	4	4	175500000	145590000	166870000	139090000	164440000	165520000	136110000	131430000	106410000	218650000	139200000	131440000	184810000	170400000	117640000	172210000			
orf19.807	orf19.807 CHS5 CGDID:CAL0002612 COORDS:Ca21chr2_C_albicans_SC5314:873052-874740W, translated using codon table 12 (562 amino acids) Uncharacterized ORF; Putative chitin biosynthesis protein; fungal-specific; repressed upon yeast-to-hypha switch; rat cathet	0	1	0	0	0	1	0	1	1	2	1	2	1	1	1	0	0	1	0	0	0	1	0	1	1	2	1	2	1	1	1	0	0	10304000	0	0	0	19401000	0	9989200	7496600	11856000	5477400	10056000	949460	19007000	2904500	0			
orf19.808;orf19.3512	orf19.808 orf19.808 CGDID:CAL0002613 COORDS:Ca21chr2_C_albicans_SC5314:870747-872579W, translated using codon table 12 (610 amino acids) Uncharacterized ORF; Protein of unknown function	1	0	0	0	1	2	2	2	2	0	3	0	2	1	0	1	1	0	0	0	1	2	2	2	2	0	3	0	2	1	0	1	4887100	0	0	0	3869100	12635000	11535000	14452000	3690100	0	8172600	0	16568000	4755600	0	4154300			
orf19.809	orf19.809 orf19.809 CGDID:CAL0002615 COORDS:Ca21chr2_C_albicans_SC5314:869597-868233C, translated using codon table 12 (454 amino acids) Uncharacterized ORF; Protein of unknown function	2	4	6	5	3	5	4	6	3	7	8	9	2	3	5	4	2	4	6	5	3	5	4	6	3	7	8	9	2	3	5	4	23124000	17758000	98075000	65416000	29618000	90102000	84902000	112220000	28284000	126380000	80964000	153750000	22779000	29942000	53655000	44576000			
orf19.813	orf19.813 orf19.813 CGDID:CAL0002644 COORDS:Ca21chr2_C_albicans_SC5314:858692-860770W, translated using codon table 12 (692 amino acids) Uncharacterized ORF; Protein of unknown function; mutants are viable; Hap43-induced gene; oxidative stress-induced via 	0	0	0	0	0	1	3	3	0	2	2	3	0	0	0	1	0	0	0	0	0	1	3	3	0	2	2	3	0	0	0	1	0	0	0	0	0	6101800	54128000	36252000	0	11026000	27036000	31978000	0	0	0	6848000			
orf19.815	orf19.815 DCK1 CGDID:CAL0002646 COORDS:Ca21chr2_C_albicans_SC5314:853403-847659C, translated using codon table 12 (1914 amino acids) Verified ORF; Putative guanine nucleotide exchange factor; required for embedded filamentous growth; activates Rac1; has a 	1	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	19602000	45204000	6704400	0	0	0	0	0	0	11608000	0	0	305670000	353630000	0	0			
orf19.816	orf19.816 DCK2 CGDID:CAL0002647 COORDS:Ca21chr2_C_albicans_SC5314:846741-841435C, translated using codon table 12 (1768 amino acids) Verified ORF; Protein similar to S. cerevisiae Ylr422wp; transposon mutation affects filamentous growth; induced by Mnl1p u	0	0	1	1	1	0	0	0	0	2	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	9162900	4364500	0	0	0	0	24337000	14947000	0	0	0	0	13777000			
orf19.819	orf19.819 orf19.819 CGDID:CAL0002651 COORDS:Ca21chr2_C_albicans_SC5314:841148-840816C, translated using codon table 12 (110 amino acids) Uncharacterized ORF; Protein of unknown function	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	818750000	734480000	673860000	456940000	890900000	885850000	783840000	652980000	703120000	932040000	611700000	642960000	1110800000	807870000	550340000	727970000			
orf19.820	orf19.820 SDS22 CGDID:CAL0002677 COORDS:Ca21chr2_C_albicans_SC5314:840282-839158C, translated using codon table 12 (374 amino acids) Uncharacterized ORF; Putative protein serine-threonine phosphatase; macrophage/pseudohyphal-repressed	0	0	2	3	0	0	5	5	0	0	5	8	0	0	1	2	0	0	2	3	0	0	5	5	0	0	5	8	0	0	1	2	0	0	50075000	43126000	0	0	75440000	74872000	0	0	46400000	126520000	0	0	33152000	32842000			
orf19.822	orf19.822 HSP21 CGDID:CAL0002678 COORDS:Ca21chr2_C_albicans_SC5314:838760-838191C, translated using codon table 12 (189 amino acids) Verified ORF; Small heat shock protein; role in stress response and virulence; fluconazole-downregulated; induced in cyr1 o	1	1	0	0	5	5	0	1	6	6	0	1	1	0	0	0	1	1	0	0	5	5	0	1	6	6	0	1	1	0	0	0	19780000	24273000	0	0	1126200000	923980000	0	57358000	889280000	1112200000	0	13766000	3910000	0	0	0			
orf19.827.1	orf19.827.1 RPL39 CGDID:CAL0006679 COORDS:Ca21chr2_C_albicans_SC5314:831684-832408W, translated using codon table 12 (99 amino acids) Uncharacterized ORF; Ribosomal protein L39; transcript induced upon germ tube formation; colony morphology-related gene re	3	5	4	5	5	5	5	5	4	4	4	4	6	5	5	5	3	5	4	5	5	5	5	5	4	4	4	4	6	5	5	5	2368000000	2028199999.9999998	2559000000	1838499999.9999998	1668399999.9999998	1664099999.9999998	848660000	2469800000	2384900000	2038599999.9999998	1904399999.9999998	1884999999.9999998	1649799999.9999998	2231800000	1196700000	1303700000			
orf19.828	orf19.828 orf19.828 CGDID:CAL0002685 COORDS:Ca21chr2_C_albicans_SC5314:830516-831313W, translated using codon table 12 (265 amino acids) Uncharacterized ORF; Putative ribosomal protein, large subunit, mitochondrial precursor; repressed by prostaglandins; S	1	1	1	1	1	1	0	1	1	2	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1	0	1	0	1	24251000	35404000	39125000	25046000	21556000	9743700	0	12849000	21011000	44718000	4963200	23991000	0	15292000	0	17452000			
orf19.837	orf19.837 GNA1 CGDID:CAL0002717 COORDS:Ca21chr2_C_albicans_SC5314:811096-811545W, translated using codon table 12 (149 amino acids) Verified ORF; Glucosamine-6-phosphate acetyltransferase; enzyme of UDP-GlcNAc biosynthesis; required for viability in absenc	4	4	3	4	5	2	3	3	4	5	3	4	5	4	4	4	4	4	3	4	5	2	3	3	4	5	3	4	5	4	4	4	118790000	123900000	96163000	106980000	119870000	130890000	95047000	122180000	123510000	120220000	104740000	140040000	103920000	121680000	85672000	110710000			
orf19.837.1	orf19.837.1 INO4 CGDID:CAF0007452 COORDS:Ca21chr2_C_albicans_SC5314:809639-809163C, translated using codon table 12 (130 amino acids) Verified ORF; Transcription factor; activator that forms a heterodimer with Ino2; likely regulates genes involved in phosp	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	1	12382000	11190000	11286000	0	0	4399800	48403000	0	11685000	20730000	14303000	10171000	15692000	31858000	51116000	43490000			
orf19.838.1	orf19.838.1 RPS9B CGDID:CAF0006912 COORDS:Ca21chr2_C_albicans_SC5314:806857-805800C, translated using codon table 12 (189 amino acids) Uncharacterized ORF; Predicted ribosomal protein; repressed upon phagocytosis by murine macrophage; transcript possibly r	12	13	13	13	13	12	13	13	12	11	12	13	13	13	13	12	12	13	13	13	13	12	13	13	12	11	12	13	13	13	13	12	12421000000	10847000000	11884000000	10709000000	10002000000	7133299999.999999	5846799999.999999	6662799999.999999	11962000000	6958699999.999999	6831599999.999999	7803399999.999999	7390299999.999999	8973400000	6977599999.999999	7241899999.999999			
orf19.840	orf19.840 RPL21A CGDID:CAL0002747 COORDS:Ca21chr2_C_albicans_SC5314:805314-804502C, translated using codon table 12 (160 amino acids) Uncharacterized ORF; Putative ribosomal protein; repressed upon phagocytosis by murine macrophage; Spider biofilm represse	8	7	8	7	7	7	7	8	8	8	8	8	7	7	7	7	8	7	8	7	7	7	7	8	8	8	8	8	7	7	7	7	8156299999.999999	6637799999.999999	6153899999.999999	5310100000	5161900000	4068699999.9999995	2428200000	3997899999.9999995	7333699999.999999	5080300000	4062899999.9999995	3818499999.9999995	3816399999.9999995	5241700000	3697599999.9999995	3701299999.9999995			
orf19.842	orf19.842 ASR3 CGDID:CAL0002749 COORDS:Ca21chr2_C_albicans_SC5314:801525-801181C, translated using codon table 12 (114 amino acids) Uncharacterized ORF; Adenylyl cyclase and stress responsive protein; induced in cyr1 or ras1 mutant; Spider biofilm induced	4	4	4	3	9	8	2	5	5	8	4	3	5	5	3	5	4	4	4	3	9	8	2	5	5	8	4	3	5	5	3	5	434850000	141240000	712750000	97080000	1400300000	1568299999.9999998	183440000	505550000	491380000	1868799999.9999998	442310000	103620000	917760000	410220000	276200000	404590000			
orf19.847	orf19.847 YIM1 CGDID:CAL0002754 COORDS:Ca21chr2_C_albicans_SC5314:791079-792167W, translated using codon table 12 (362 amino acids) Uncharacterized ORF; Protein similar to protease of mitochondrial inner membrane; increased transcription is observed upon b	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	9336100	0	0	20194000	7228800	0	0	0	0	0	0			
orf19.850	orf19.850 orf19.850 CGDID:CAL0002774 COORDS:Ca21chr2_C_albicans_SC5314:782312-783436W, translated using codon table 12 (374 amino acids) Uncharacterized ORF; Protein of unknown function	0	1	1	1	1	1	0	0	2	0	0	0	1	1	2	1	0	1	1	1	1	1	0	0	2	0	0	0	1	1	2	1	0	3401200	10022000	0	7219100	5887200	0	0	4513900	0	0	0	10520000	7982400	16546000	0			
orf19.855	orf19.855 orf19.855 CGDID:CAL0002779 COORDS:Ca21chr2_C_albicans_SC5314:768528-769277W, translated using codon table 12 (249 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	595300000	471040000	0	694220000	0	0	719070000	0	816860000	900360000	830690000	0			
orf19.86;orf19.85	orf19.86 orf19.86 CGDID:CAL0000683 COORDS:Ca21chr6_C_albicans_SC5314:167189-167674W, translated using codon table 12 (161 amino acids) Uncharacterized ORF; Putative glutathione peroxidase; induced by peroxide, exposure to neutrophils and macrophage blood f	8	7	8	6	9	9	6	9	9	10	8	7	6	9	7	8	8	7	8	6	9	9	6	9	9	10	8	7	6	9	7	8	282570000	321920000	374010000	236030000	2000699999.9999998	2165000000	182810000	665140000	2041699999.9999998	2324400000	815860000	317870000	252280000	435310000	256280000	352540000			
